Drug Name,Price
FROBEN 50mg tab.,8
ALLERGEX 20mg tab.,2
EPICOCILLIN 250mg/5ml susp. (R1),7
EPICOCILLIN 250mg/5ml susp.,4
EPICOCILLIN 125mg/5ml susp. (R1),4
EPICOCILLIN 125mg/5ml susp.,3
ASMOLIN tab.,2
EPICOCILLIN 500mg caps.,10
EMERAL tab.,2
CEVITIL 1gm effervescent tab.,2
FLUMOX 125/125  susp.,13
ALLERGEX CAFFEINE tab.,3
COLDACT caps.,4
LAXOFIN susp.,1
FLUMOX 125/125mg caps.,8
AMOXICID 125mg/5ml  susp.,4
REDUCDYN tab.,4
MOSEGOR 0.5mg coated tab.,6
TEGRAL 200mg scored tabs.,2
LIBRAX sugar coated tab.,5
BALKIS syrup,4
TRITTICO 50mg tab.,4
TANTUM 5% cream,3
TANTUM ROSA 0.5g powder for vaginal solution,4
DULCOLAX 5mg sugar coated tablet.,1
SOLU-CORTEF 100mg/2ml vial,6
EPICOCILLIN 250mg vial,2
EPICOCILLIN 1gm vial.,4
BALKIS caps.,4
CAMISAN cream,4
LANETAL powder,2
MINERAVIT soft gelatin caps.,3
OSPEN 1000 tab.,5
MECLOPRAM 20mg adult supp.,3
ROVAMYCIN 1.5M.I.U.tab.,10
SIRDALUD 4mg tab.,8
TERRACORTRIL eye / ear oint.,3
FELDENE 20mg dispersible tab.,16
LACTULOSE HEK 65% syrup (R1),11
LACTULOSE HEK 65% syrup,5
PLASIL 10mg tab.,3
RHINOMOL-S syrup,4
NAPROGESIC 500mg supp.,7
EPICOPHYLLINE 2.5g/100ml syrup,3
BETALOC 100mg tab.,10
DE-PROSTYL-2 supp.,2
GRIPPO 200mg supp.,1
GINSANA 100mg soft gelatin caps.,10
"UNASYN 375mg vial
(APPROVED RE-REG)",8
VITAPHOS elixir,4
DYSENTERIN COMPOUND sachets,2
RONICOL RETARD 150mg tab.,4
RHINOGESIC syrup,4
CETAMOL 120mg/5ml pediatric syrup.,2
FLUMOX 250/250mg vial,4
FLUMOX 500/500mg I.M/I.V. vial,6
FLAGICURE 250mg tab.,2
SYTRON 27.5mg/5ml oral Solution,6
VITAZINC soft gelatin caps.,5
GERIATRIC PHARMATON soft gelatin caps.,11
DEPO-MEDROL 40mg/ml vial,7
ASPOCID C eff.tab.,4
FLUORESCEIN IV amp.,2
VENDOCID 20mg cap.,6
SPASMOPYRALGIN-M,44
DECONGESTYL  supp.,5
EPANUTIN 100mg caps.,12
EPILAT RETARD 20mg SR.f.c.tab.,5
CIDOLVEX 1mg/ml I.M amp.,3
DALACIN T 1% topical solution,24
TROSYD 1% dermal  lotion,8
BEROTEC 2.5mg tab.,4
GLUCAFENE syrup,1
INDOCID 100mg rectal supp.,2
DARAPRIM 25mg tab.,11
BEROTEC 0.05% syrup,5
ALTIAZEM 60mg tab.,10
RIOPAN 800mg chewable tab.,14
ALBUMINATIVE 96% I.V. infusion,210
AFRIN 0.05% nasal spray,3
VOLTAREN 1% emulgel. (R2),14
VOLTAREN 1% emulgel. (R1),8
VOLTAREN 1% emulgel.,6
LOPODIUM 2mg caps,1
SPACMOCIN 20mg/ml amp.,4
NEUROCET 400mg caps.,6
AKNEMYCIN 2% solution,7
PECTOKAL susp.,1
EPINOSINE B FORTE amp.,8
VERMIN 100mg/5ml susp.,2
DIPENACID 125/125mg vial for I.M./I.V. inj.,2
DIPENACID 250/250mg vial for I.M./I.V. inj.,3
NIZORAL 200mg tab. (R1),34
ISOPRINOSINE 500mg tab.,14
TRI B tab.,5
"UNASYN 250mg/5ml  powder for oral susp.
(approved Re-reg)",33
E-MOX 1gm IM & IV vial,6
E-MOX 500mg (I.M./ I.V.) vial,4
E-MOX 250mg vial,3
EPIRAX tab.,2
ANAFLEX 10% oint.,4
TEBONINA FORTE 40mg f.c.tab.,16
AGIOLAX granules,9
PHOLPRINE COUGH LINCTUS,1
VENORUTON 300mg hard gelatin caps.,7
FENISTIL 0.01% syrup,5
ANAFRANIL 25mg/2ml amp.,6
PRIMPEROXANE chewable tab.,3
AIRONYL  30mg/100ml syrup,2
HAEMOCLAR cream (R1),7
HAEMOCLAR cream,6
VOLTAREN 25mg enteric coated tab.,11
KELLAGON 20mg caps.,5
BIOMOX 250mg/5ml susp.,7
BIOMOX 125mg/5ml susp.,4
A-VITON 50.000 I.U. caps.,2
CYTEAL antiseptic foaming solution.,9
ISOPRINOSINE SYRUP,11
TRANEXENE 5mg caps.,2
ROYAL VIT G soft gelatin caps,15
EDEMEX 0.25mg/ml  i.m/i.v amp.,4
MARCOFEN  400 mg  SR caps.,4
CIDOCETIN SUCCINATE 1gm vial,3
YUTOPAR 10mg tab.,20
DERMATIN POWDER (FOR EXTERNAL USE ONLY),1
ANAFLEX 10% powder,4
MIGRACID syrup,2
ESSENTIALE FORTE  300mg caps.,18
LINCOCIN 300mg/ml amp.,6
MAGNISOL AMP.,4
MOSEGOR 5mg/100ml syrup.,6
ISILIN syrup,4
NEURIL 2mg tab.,2
AMANTINE 100mg caps.,4
DERMATOP 0.25% oint.,8
OXYTOCIN 5 I.U/ml amp.,1
AKNEROXID-5 5gm/100gm gel,2
OLFEN  1% topical gel. (R1),11
OLFEN  1% topical gel.,4
OLFEN 100mg S.R.depocaps.,13
NORACIN 400mg f.c.tab.,19
AMIKIN 250mg/2ml vial,8
UROTRIM tab.,4
OPHTAMYCETINE 0.5% eye drops.,1
SINECOD 0.5% oral drops,3
SINECOD 0.15%syrup.,4
DERMATOP 2.5mg/g cream,8
MIGRACID  tab.,3
ALPHINTERN tab.,5
VISCERALGINE 5mg/2ml I.M./I.V.amp.,5
TANTUM  5% topical gel.,3
UROSOLVINE effervecent granules,4
LEGALON 70mg  tab.,3
VENTOLIN 0.5% respirator solution,22
CEPHLEX 250 mg/5 ml susp,8
PROSTIGMIN (ROCHE) VIALS 12.5 mg/5 ml,10
"RIVOTRIL 2.5mg/ml oral drops.
(????)",7
DELTIAZEM 60mg tab.,5
INDACIN 1% topical gel,4
SOLVEX 250mg/5ml syrup.,5
TOLVON 30mg F.C.tab,11
CALCIUM eff.instant,7
OLFEN 50mg Lactab,6
BRUFEN 600mg tab,5
MOXYNIL 500mg vial,4
MOXYNIL 250mg vial,3
NOVALGIN 500mg tab.,2
CARDIKET R 20 mg tab.,4
FUCIDIN 2% oint. (R1),18
FUCIDIN 2% oint.,10
DIVITON A&E chewable tab.,2
E-VITON caps. 100 mg,1
ONE ALPHA  0.2mcg/ml oral drops,168
RIFAMOX 100mg/5ml susp.,4
GENTAMICIN 80mg/2ml amp. (R1),233
GENTAMICIN 80mg/2ml amp.,7
DELAY-TIAZEM SR 120 mg caps.,10
URALYT-U granules,65
FUCIDIN 2% intertulle (R1),2
FUCIDIN 2% intertulle,3
CANDISTAN 2% vaginal cream.,9
TRENTAL 20mg/ml I.V.infusion,7
PERI-LACTATE (C) IN GLUCOSE 4.25 % (R1),9
PERI-LACTATE (C) IN GLUCOSE 4.25 %,6
ULTRA-MEDANINE 0.03g/15ml  local paint.,3
VITERRA PLUS caps.,6
GABION FORTE tab,2
SANDIMMUM 25mg caps. (R1),168
SANDIMMUM 25mg caps.,34
XYLOCAINE 10% pump spray,45
NITRODERM TTS 10mg patch (R1),28
TRIDERM cream,6
ANDRIOL 40mg caps,40
OTOSEPT ear drops,3
"ENTEROMYCIN  dry syrup
(APPROVED RE-REG)",3
MIACALCIC 50 MRC I.U amp.,14
DEXTROSE IN RINGER`S SOLUTION (R1),4
DEXTROSE IN RINGER`S SOLUTION,7
NAPROFEN 250mg tab.,4
PROTHIADEN 75mg tab.,5
METHERGIN 0.2mg/ml amp.,2
BRUFEN 200mg tab,2
PAMIDIN 250mg tab.,2
MEGAVIT ZINC caps. (R1),4
MEGAVIT ZINC caps.,8
ROCEPHIN 0.5gm I.V.vial,26
SEMPREX  8mg hard gelatin caps. (R1),15
SEMPREX  8mg hard gelatin caps.,7
SALURETIC tab.,3
NEBCIN 20 MG/2 ML INJECTION,6
ELOCON 1mg/gm oint. (R1),18
ELOCON 1mg/gm oint.,12
OXYTOCIN 10 I.U AMP.,11
OLFEN 75mg/2ml amp.,7
FLUANXOL DEPOT 40mg/2ml amp. (R1),14
FLUANXOL DEPOT 40mg/2ml amp.,26
CLOPIXOL DEPOT 200mg/ml I.M.amp.,32
ZADITEN  1mg/5ml syrup.,10
LAMISIL 1% topical cream,13
LOPID 600mg f.c.tab.,54
CLOPIXOL ACUPHASE 100mg/2ml L amp.,28
LOTENSINE 25mg tab.,4
"XANAX  0.25mg tab.
(APPROVED RE-REG)",24
"XANAX  0.5 mg tab.
(APPROVED RE-REG)",46
AUGMENTIN tablet 375 mg,20
BONIDON 75mg depocaps.,6
SIMETHICONE emulsion 2gm/100ml,3
CHOLESTRAN 4g sachets,16
HYPOTEN tab.,6
CALCIUM PHARCO 950mg chewable tab.,2
ALDOMET 250mg tab,6
VELOSEF 500mg I.M./I.V.vial,5
CARBIMAZOLE TABLET B.P 2007 5mg f.c. tabs.,8
MIACALCIC 50I.U. nasal spray,138
ZADITEN 1mg tab.,10
SYNTOCINON 10 I.U/ml I.M/I.V.amp.,15
SYNTOCINON 5 I.U./ml  I.M/I.Vamp.,9
SPASMOREST 10mg tab.,1
"MIRAPRONT-N 200mg caps.
(Caqncelled)",10
"CODIOCT CUM EXPECTORANT 200mg/100g syrup
(APPROVED:RE-REG.)",9
CIPRAM 20 mg Tab.,70
AEROLIN 100mcg/dose inhaler,7
VELOSEF 250 mg I.V./I.M. inj.,4
CATAFLAM 15mg/ml oral drops.,8
CANDISTAN 1% topical cream,3
ALPHACHYMOTRYPSIN 5mg amp. (R1),13
DERMALONE cream,4
MAGNEVIST 469.01mg/ml I.V.infusion (R1),140
MAGNEVIST 469.01mg/ml I.V.infusion,272
NEO-GELCO susp.,2
RHEUMAFEN FORTE supp.,5
ALDOMET 500 mg tab,5
TRYPTIZOLE 25mg tab.,4
ISOPTIN 5mg/2ml I.V.amp.,8
LOCARTEN VIOFORM cream,4
NEBCIN 20mg/2ml vial,6
NEBCIN 80MG/2ML INJ.,16
TRISOLVIN soft gelatin caps.,3
MINTOLINE mouth wash & gargle,3
ROCEPHIN 1gm I.M.vial,46
NOOTROPIL 400 mg hard gelatin caps.,7
KOFFEX ADULT syrup,3
VEGASKINE syrup.,4
DOPAGON 2.5mg tab.,9
NOVIRUS 200 mg Hard gelatin caps.,11
NIZORAL  2% topical shampoo.,23
"MINAFLUOR mouth wash
(APPROVED:RE-REG.)",3
ALPHA KADOL oint.,6
NIZORAL 20mg/g cream.,6
NITRODERM TTS 10mg patch (R2),4
NITRODERM TTS 10mg patch,28
AUGMENTIN 156 mg/5 ml suspension (R1),22
AUGMENTIN 156 mg/5 ml suspension,18
FUNGRYL   15 spray solution,13
ENDOXAN 200mg I.V.vial,8
FAVERIN 100mg scored f.c.tab.,33
DIABETRON 80mg tab.,7
"TAVEGYL 2mg/2ml amp. For I.M.,slow I.V. inj.",5
MINOPHILLINE 300mg S.R.tab.,8
NITRODERM TTS 5mg patch (R1),26
NITRODERM TTS 5mg patch,4
TRYPTIZOL 10mg tab. (R1),0
TRYPTIZOL 10mg tab.,1
OXYTOCIN 5 IU/ml inj.,10
PROCTOSEDYL supp.,4
DESFERAL 500mg vial????,8
FAVERIN 50mg f.c.tab.,17
ENDOXAN 1gm I.V.vial,30
RABIPUR =2.5I.U./vial (PCEC RABIES VACCINE FOR HUMAN ),70
OXYTOCIN 10I.U./ml amp. (R1),11
AUDAX ear drops (R1),5
AUDAX ear drops,3
GYNIPRAL 10 mcg ampoules,11
FROBEN SR 200 mg caps,14
URBASON RETARD 8mg tab.,10
LIPOSTAT 20 mg tab.,60
IDARAC 200mg tab.,5
ACYCLOVIR 3% eye oint.,2
PARAMOL 500mg tab.,2
NICOTINELL TTS 10 (CM.SQUARE),8
NORFLEX 100mg tab.,2
"SOLVIN 80mg/100ml syrup
(APPROVED RE-REG)",4
HYDIKAL tab.,4
NOOTROPIL 1gm/5ml I.V./I.M.amp.,12
UROMITEXAN 400mg/4ml I.V.amp.,130
EPICOTIL 20mg f.c.tab.,12
VELOSEF 1gm I.M./I.V.vial,10
EPREX  4000 I.U./ml vial,1525
BAUMALGINE oint.,2
EPICOTIL 20mg supp.,7
ANANDRON 50mg tab. (R1),79
LANZOR 30mg cap.,65
NICOTINELL TTS 20 CM SQUARE,8
NICOTINELL TTS 30 CM SQUARE,9
BATRAFEN 1% topical solution.,6
OCUCARPINE 4% eye drops,6
ADRIBLASTINA R.D 50mg vial,260
"LASTIPEN 1,200,000 IU vial.",3
AMPICILLN 250mg/5ml susp.,4
AMPICILLIN 250 mg vial,2
MIPHENICOL 500 mg supp.,2
AMPICILLIN 1gm vial.,4
GASTRAZOLE  20mg hard gelatin cap.,42
NORFLEX 30mg/ml amp.,4
EPIRAZOLE 20mg caps. (R1),52
EPIRAZOLE 20mg caps.,44
PREGVIT-ZINC soft gelatin caps.,12
ACYCLOVIR 5% topical cream,4
DIABETRON 40mg tab.,4
TUSSIVAN-N syrup,3
FELDENE 20mg caps.,14
CLOXAPEN 500mg caps.,6
FLAGICURE FORTE 500 mg f.c. tab,3
DAKTARIN 2% oral gel,18
PAN AMIN G I.V. infusion,20
MIPHENICOL 250 mg supp.,1
MICOBAN  2% cream,5
DIUREX  2.5mg sugar coated tab.,7
CARBOPLATIN 150mg/15ml vial,120
CINARETAM 400/25mg cap.,6
RECTOPLEXIL paed.supp.,3
ROCEPHIN 500mg I.M.vial,26
PAXELADINE 40 mg  caps.,8
EUVAX-B 20mcg/ml I.M vial (R3),74
EUVAX-B 20mcg/ml I.M vial (R2),37
EUVAX-B 20mcg/ml I.M vial (R1),8
EUVAX-B 20mcg/ml I.M vial,15
ZINCOSIL cream,2
RIMACTANE 2% syrup,6
OCTOVENT 4mg C.R. tab.,6
ORAP FORTE 4mg tab.,19
OTRIVIN 0.1% adult nasal spray,5
FAMOTIN 20mg tab.,5
BATRAFEN 10mg/gm topical cream,5
LONGICEF 500 mg caps.,7
OTRIVIN 0.05% pediatric nasal drops,3
CROMOLYN 100 mg cap.,7
CIDOMYCIN 0.3% oint.,5
CIBADREX 20/25  f.c.tab.,44
PROCTO-GLYVENOL topical cream,6
DAFLON 500mg f.c. tab.,18
TENSOLOL 100mg f.c.tab.,10
CORTIGEN B6 adult 100C.D.U./ml amp.,8
FELDENE 10mg caps.,14
GLUCOLYNAMINE I.V amp. (R1),42
GLUCOLYNAMINE I.V amp.,3
SEDAMOL rectal pediatric suppository,2
SOLCESERYL amp,60
MIFOXINE 250mg tab.,15
ROCEPHIN 1gm I.V.vial,46
CIDOMYCIN 3mg/gm cream.,5
SOLCOSERYL 42.5mg/ml amp. (R1),36
SOLCOSERYL 42.5mg/ml amp.,10
IRUXOL oint.,20
GENTAMYTREX 5mg/gm eye oint.,4
AVIL RETARD 75mg tab.,2
"ALEXAN 20mg/ml vial for I.V. inj. Or inf.,S.C. inj. & intrathecal use",24
MAGSILON susp.,4
DEFLAX  sachets,2
EPICROM 4% eye drops,8
OCUGENT 3% eye/ear drops,3
RAMALLERGE 4mg tab.,4
"ALEXAN 50mg/ml vial for I.V. inj. & inf.,S.C. inj. & intrathecal use",66
"ALEXAN 50mg/ml vial for I.V. inj. & inf.,S.C. inj. & intrathecal use (R1)",117
PROPHALLERGE 1mg/5ml syrup,9
KENACOMB oint.,6
RINOSIN nasal gel.,2
DOBUTREX SOLUTION 250 mg vial,35
ELOCON 0.1% lotion.,15
MARVELON tab.,15
SPASMOCANULASE_D bitab .,4
ISOPTO-CETAPRED eye drops,6
ISOPTO CETAMIDE 150mg/ml eye drops,5
KENACOMB topical cream,6
ZYRTEC 10 mg tab. (R1),22
ZYRTEC 10 mg tab.,11
NEOPOL eye/ear drops,4
DIABYL 80mg tab.,6
BECLOSONE INHALER 0.05 mg/dose,12
GALLAMINE 40 mg/100ml amp.,6
MYLERAN 2mg f.c.tab.,40
CEPOREX  250 mg caps.,6
NAVOBAN 5mg/5ml amp.,91
VIBRAMYCIN 100mg caps.,18
SYNCHROGIT 10mg tab.,6
ISOPTOFRIN 0.12% eye drops,4
NOLVADEX 10 mg tab,27
BENOX 0.4% eye drops,4
NAVOBAN 5mg caps.,392
"THALMOTOBRIN 0.3% eye drops.
(APPROVED RE-REG)",6
BRUFEN 400mg tab,4
NORDETTE tab.,2
MINIPRESS 1mg tab.,3
MINIPRESS  2mg tab.,5
MOTILIUM 10mg f.c.tab.,6
NIZORAL 200mg tab.,34
INDOTOPIC 1% gel,3
T.B.ZIDE 100mg tab.,2
AMPICILLIN 250 mg hard gelatin caps.,4
FASTUM 2.5% topical gel (R2),10
FASTUM 2.5% topical gel (R1),7
FASTUM 2.5% topical gel,4
FUCICORT topical cream (R1),20
FUCICORT topical cream,11
EPIVAL 10mg/2ml amp.,3
INDOLOL 10 mg tab,1
PHENOCRAMINE mouth wash,4
INDOLOL 40 mg tab,2
VERM-ALL 100mg/5ml suspension,3
VERMALL 100mg tab.,2
CORASORE 150mg/ml oral drops,2
MACROFURAN 50 mg caps. (R1),7
MACROFURAN 50 mg caps.,2
MACROFURAN 100 mg caps. (R1),4
MACROFURAN 100 mg caps.,12
COLIFURAN 100mg tab.,2
ULSTOP 20mg hard gelatin caps.,42
LIDOCAINE 2% amp.,4
PROCTOLIDOSINE supp.,2
TOBRIN 0.3% eye drops,6
STREPTOQUINE powder for oral suspension,3
SPASMOREST 20mg tab.,2
GYNO-PEVARYL 1% vaginal cream,11
PEVARYL 1% topical cream,5
LUSTRAL 50mg f.c.tab.,40
VENORUTON FORTE 500mg tab.,14
BUSCOPAN PLUS  f. c.tab.,6
BRUFEN  effervescent granules 600 mg sachet. (R1),1
BRUFEN  effervescent granules 600 mg sachet.,12
FAKTU supp.,10
GLUCAGEN 1mg/ml vial,90
WALIRINE  syrup,1
SPASMOPYRALGIN M adult supp.,1
CAL-D B12  amp.,6
MARIVANIL 1mg tab.,2
PARLODEL 2.5mg tab.,23
PROVERA 5mg tab.,20
MOTINORM susp.,6
CYMEVENE 500mg I.V.vial,192
NEO-MYXIDINE eye/ear drops,4
AQUA VERA syrup,3
FARCOCIN 0.1% oint.,3
CLINITOL mouth wash,3
ABIMOL 300mg  rectal supp.,2
ORIPLEX sugar coated tab. (R1),0
ORIPLEX sugar coated tab.,1
RIMACTANE 300mg caps.,8
GAST-REG 100mg tab.,5
ADCOZOLE 2% topical cream,3
PEVISONE topical cream,6
SEDIPROCT  0.5gm/100gm topical cream.,4
DERMOVATE  0.05%w/w top. Cream,8
SUPRAX 200 mg  caps,50
SUPRAX 100 mg/5 ml  granules for oral suspension (R1),40
SUPRAX 100 mg/5 ml  granules for oral suspension,24
MIPHENICOL 125 mg susp.,3
EFFOX LONG 50mg S.R caps.,10
SUPRAX 400  mg caps,60
BECO-C SYRUP,1
ATROVENT  0.5mg/2ml unit dose vial.,39
OPTOZOLINE eye drops (R1),1
OPTOZOLINE eye drops,2
MODURETIC 5/50mg tab.,8
HISTAC 150mg tab.,13
ZITHROMAX 200mg/5ml susp. (R2),44
ZITHROMAX 200mg/5ml susp. (R1),35
ZITHROMAX 200mg/5ml susp.,26
BUSCOPAN PLUS adult supp.,3
MAXORAL MOUTH AND THROAT 0.05% mouth wash,4
PRIODERM  0.5 % lotion,6
ATELOL 100mg tab. (R1),10
ATELOL 100mg tab.,5
DERMOZOLE 2% gel,4
CITROLIN-F gargle,2
FARCOCIN 0.1% cream (R1),3
FARCOCIN 0.1% cream,3
ROWAPRAXIN 10mg supp. (R1),3
MOTIVAL tab.,5
MUCOSOLVAN 15mg/5ml syrup.,6
MUCOSOLVAN 30mg tab.,5
BLOKIUM DIU 100/25mg tab.,12
EPICOTIL 20mg I.M./I.V.vial,9
FURAZOLE pediatric susp. (R1),4
FURAZOLE pediatric susp.,2
ATENO 100mg f.c.tab.,4
CIPROCIN 500mg  f.c.tab.,32
DYSPORT 500unit vial,1400
MOTILIUM 1mg/ml susp.,8
SANDOSTATIN 0.1mg/ml amp.,295
ALBUMINA UMANA ISI 20 % vial,135
RECORMON 5000I.u.vial,178
RECORMON 1000 IU vial,90
RECORMON 2000I.u.vial,71
GENOTROPIN 4 I.U.vial,110
LONGICEF 125mg/5ml granules for oral susp.,4
LONGICEF 250mg/5ml susp.,8
TRILEPTAL 300mg f.c.tab. (R1),20
TRILEPTAL 600mg divitabs.,30
URSOFALK 250mg caps.,15
ENDOXAN 50mg sugar coated tab.,38
INTRALIPID 10 % emulsion for infusion.,44
APIGENT-P eye/ear drops,4
GAST-REG  24mg/5ml susp.,5
HYPOSEC 20mg caps.,42
CEFOTAX 500mg vial,9
G-REGULATOR 24mg/5ml susp.,5
DAPSONE 100mg tab.,4
DECAPEPTYL CR 3.75 mg IM INJ.,600
ERYTHROCIN 250 mg tab,4
AUGMENTIN 312 mg/5ml suspension (R1),32
AUGMENTIN 312 mg/5ml suspension,28
ETHYL CHLORIDE 88gm/100ml topical spray,16
ALGASON MASSAGE cream,4
GYNOZOL 2% vaginal cream,15
TOFRANIL 25mg sugar coated tab.,2
ACYCLOVIR 200mg tab.,14
CEFOTAX 1gm IV/ IM vial,16
UNIPHYLLIN CONTINUS 300mg controlled release tab.,6
TANAKAN 40mg f.c tab.,16
MIXTARD 50 HM penfill 100 I.U./ml,105
APIGENT 3mg/ml eye/ear drops,3
CEPOREX 125mg /5ml syrup,6
CEPOREX 250 mg/5ml syrup,10
AMPICILLIN 250mg caps. (R1),4
DANOFRAN 4mg amp.,16
ROXID 300mg tab.,14
DANOFRAN 8mg amp.,30
MARIVANIL 3mg tab.,3
